text,image_caption,surface_message,background_knowledge,A,B,C,D,expert_label
do i need to dig up hitler to show you how to use an oven.,An image of Gordon Ramsay holding a microphone up to a person.,An image of Gordon Ramsay holding a microphone up to a person. The person in the meme says that do i need to dig up hitler to show you how to use an oven.,"1. Knowledge of Gordon Ramsay’s career as a host on various cooking shows, and especially his TV personality of being abrasive. 2. Knowledge of the Holocaust and Nazi Germany, of which  Hitler was the leader. 3. Knowledge of the use of large “ovens” to kill Jews in concentration camps. 4. Knowledge of the attempted humor created by using “oven” to both refer to the cooking appliance and the holocaust.","The meme is making a joke about using Hitler to teach someone how to use an oven, referencing the Holocaust.",This meme is a holocaust joke that plays off of Ramsay’s tendency to berate people with vulgar humor.,The meme is making fun of Gordon Ramsay's abrasive personality by comparing him to Hitler and suggesting that he needs to dig up Hitler to teach someone how to use an oven.,The meme is trying to make a joke about using an oven by referencing the Holocaust and Hitler.,H
"""ay,tone. so da franks was transferred to multiple camps. shouldn't they have whacked her da first time? doesn't seem very efficient.""."," In the image, a 1950's style Caucasian man in a suit and tie is seen talking on a red telephone."," In the image, a 1950's style Caucasian man in a suit and tie is seen talking on a red telephone. The person in the meme says that ""ay,tone. so da franks was transferred to multiple camps. shouldn't they have whacked her da first time? doesn't seem very efficient."".","Anne Frank was a German girl and Jewish victim of the Holocaust, that had concentration camps which facilitated the killing of Jews, who is famous for keeping a diary of her experiences. Anne and her family went into hiding for two years to avoid Nazi persecution.",The Holocaust was inefficient because Anne Frank was transferred to multiple camps before being killed.,"The author is trying to make fun of the fact that Anne Frank, a Jewish victim, was not instantly killed in the concentration camps. This displays discrimination against Jewish people and insults the people that died during the Holocaust.",The Holocaust was inefficient because Anne Frank was transferred to multiple camps instead of being killed immediately.,The meme is making light of the Holocaust and the suffering of Anne Frank.,H
"i'm an ex-muslim because ""islam"" means ""submission"" and i won't submit my life to the delusion of a child rapist","It is an image of a man, suggested to be Muslim due to his headdress and religious pose, bowing on a red rug.","It is an image of a man, suggested to be Muslim due to his headdress and religious pose, bowing on a red rug. The author says ""I'm an ex-Muslim because 'Islam' means 'submission' and I won't submit my life to the delusion of a child rapist.""","An 'Ex-Muslim' is someone who used to be follow Islam but does not anymore. Islam has a core principle of submission to God. The founder of Islam, the Prophet Muhammad, has been alleged to have married and had sexual relations with children. ",The author is saying that they left Islam because they refuse to submit their life to a religion founded by a child rapist.,The meme is demeaning Islam by equating it to submission to a child rapist.,"The meme is offensive towards Muslims, as it implies that Islam is a delusion and that its founder was a child rapist.",The author is an ex-Muslim because they refuse to submit their life to what they believe is a false religion founded by a morally corrupt individual.,H
world history in one sentence. these white men are dangerous.,The image depicts a scene in which 3 Native Americans with weapons walk up a hill towards 3 men in European-style military uniforms. The leaders of each group reach out their hands. .,The image depicts a scene in which 3 Native Americans with weapons walk up a hill towards 3 men in European-style military uniforms. The leaders of each group reach out their hands. . The author describes the image as world history in one sentence. these white men are dangerous.,"Much of the history leading up to present-day involved Europeans (""the white men"") traveling around the world and colonizing other peoples. ","When it comes to other cultures, white people are the root of all problems.",The author is saying that the white men in the image are dangerous and have a history of causing harm to others.,The meme is making fun of the colonization of Native Americans by Europeans.,The white men are dangerous because they are colonizers.,N
400 years of slavery rape and murder but now she loves him and hates her own men., It is an image of an African American woman wearing a white headscarf., It is an image of an African American woman wearing a white headscarf. The author describes the image as 400 years of slavery rape and murder but now she loves him and hates her own men.,"Starting from the early 17th century, to 1865, European colonists would use African slavery in the American colonies, and many colonists mistreated their slaves such as raping and murdering them.",African American women are still affected by the history of slavery and prefer white men over their own men.,African American women are still affected by slavery and prefer white men over their own race.,"The author is trying to convey the message that despite the long history of oppression and mistreatment of African American women, the African American women now to love and support white men while disregarding their own men, in this case for more romantic reasons. This meme discriminates against African American woman who are romantically interested in a white person, which is not wrong in this day and age, but the meme implies that it is.",African American women are still affected by the historical trauma of slavery and may have negative views of their own men.,H
drinking wine is bad drinking camel piss is good.,It is an image of a Muslim man with his mouth open in front of a group of people.,It is an image of a Muslim man with his mouth open in front of a group of people. The person in the meme says that drinking wine is bad drinking camel piss is good.,Muslims are widely discriminated against for a variety of reasons.,"The author portrays a Muslim in the meme saying that drinking camel piss, which is foul and filthy, is good. This stereotypes Muslims as drinking camel piss and being disgusting in general which is offensive, discriminatory, and racist.","Muslims are hypocrites because they drink camel urine, which is considered a remedy in some traditional medicine practices, while they condemn drinking wine.",Muslims are backward and drink camel urine.,Muslims are hypocritical for drinking camel urine.,H
human testosterone injections? why would you think that?.,It is an image of a shaggy dog on a sidewalk who cannot see because its hair is so long.,It is an image of a shaggy dog on a sidewalk who cannot see because its hair is so long. The author describes the image as human testosterone injections? why would you think that?.,Testosterone causes hair growth.,The meme is making fun of people who take testosterone injections.,The author is making a joke about the dog's hair growth being similar to human testosterone injections.,The dog's long hair is a result of human testosterone injections.,It is making fun of shaggy dogs for looking abnormal.,N
"i don't want trump's face on mount rushmore. i want it chisled onto the moon so liberals, mexicans and muslims never get a good night's sleep.",It is an image of the moon visible over a body of water.,"It is an image of the moon visible over a body of water. The author describes the image as i don't want trump's face on mount rushmore. i want it chisled onto the moon so liberals, mexicans and muslims never get a good night's sleep.","Donald Trump was the 45th President of the United States and was a Republican. He was extremely unpopular among Democrats, Mexicans, and Muslims due to his policies as President.",The author wants to make sure that people who don't like Trump never get a good night's sleep.,"The author wants Trump's face on the moon to annoy liberals, Mexicans, and Muslims.","The meme is expressing a desire to have Trump's face on the moon to annoy liberals, Mexicans, and Muslims.",Trump was a great President and should be memorialized in order to spite his detractors.,H
best polish removers.,The top two images show someone washing their hands with soap. The bottom image shows Adolf Hitler.,The top two images show someone washing their hands with soap. The bottom image shows Adolf Hitler. The author describes the image as best polish removers.,Adolf Hitler was the leader of the Nazi party of Germany. There are rumors that the Nazis used the bodies of their victims to create soap.,The meme is suggesting that the best way to remove the stain of Hitler's actions is to wash our hands with soap.,The Nazis killed Polish people to turn them into soap.,The soap made from the bodies of the victims.,The meme is making a joke about the rumors of the Nazis using the bodies of their victims to create soap.,H
me cis girls,"In the image, there is a lesbian couple holding a baby and smiling. The baby is looking away. One woman appears to be Caucasian and the other appears to be Hispanic. The baby appears to be Caucasian. ","The word ""me"" is placed on one of the lesbians, whereas ""cis girls"" is placed on the baby.","People are generally uncomfortable with public displays of affection, especially those of other sexual orientations.","The meme is making fun of lesbians and suggesting that they are not ""real"" girls.",Cisgender girls are generally uncomfortable looking at same-sex affectionate displays.,The meme is making a statement about the double standards in society regarding public displays of affection.,"The author is suggesting that the lesbian couple is more comfortable with their sexuality than the ""cis girls"" are.",H
